sample #,MLII,V1
124,1008.0,1008.0
125,1006.0,1006.0
126,1004.0,1004.0
127,1005.0,1005.0
128,1005.0,1005.0
129,1007.0,1007.0
130,1005.0,1005.0
131,1004.0,1004.0
132,1004.0,1004.0
133,1001.0,1001.0
134,1001.0,1001.0
135,998.0,998.0
136,996.0,996.0
137,994.0,994.0
138,992.0,992.0
139,995.0,995.0
140,993.0,993.0
141,992.0,992.0
142,990.0,990.0
143,987.0,987.0
144,989.0,989.0
145,990.0,990.0
146,991.0,991.0
147,990.0,990.0
148,990.0,990.0
149,991.0,991.0
150,988.0,988.0
151,988.0,988.0
152,984.0,984.0
153,984.0,984.0
154,981.0,981.0
155,983.0,983.0
156,982.0,982.0
157,983.0,983.0
158,982.0,982.0
159,980.0,980.0
160,979.0,979.0
161,979.0,979.0
162,976.0,976.0
163,979.0,979.0
164,982.0,982.0
165,983.0,983.0
166,985.0,985.0
167,986.0,986.0
168,984.0,984.0
169,986.0,986.0
170,986.0,986.0
171,987.0,987.0
172,990.0,990.0
173,990.0,990.0
174,989.0,989.0
175,991.0,991.0
176,991.0,991.0
177,987.0,987.0
178,987.0,987.0
179,983.0,983.0
180,983.0,983.0
181,982.0,982.0
182,985.0,985.0
183,985.0,985.0
184,986.0,986.0
185,985.0,985.0
186,985.0,985.0
187,985.0,985.0
188,987.0,987.0
189,989.0,989.0
190,989.0,989.0
191,984.0,984.0
192,979.0,979.0
193,974.0,974.0
194,976.0,976.0
195,976.0,976.0
196,976.0,976.0
197,974.0,974.0
198,972.0,972.0
199,970.0,970.0
200,968.0,968.0
201,963.0,963.0
202,957.0,957.0
203,954.0,954.0
204,956.0,956.0
205,967.0,967.0
206,983.0,983.0
207,997.0,997.0
208,1005.0,1005.0
209,1015.0,1015.0
210,1026.0,1026.0
211,1039.0,1039.0
212,1052.0,1052.0
213,1059.0,1059.0
214,1051.0,1051.0
215,1033.0,1033.0
216,993.0,993.0
217,939.0,939.0
218,882.0,882.0
219,841.0,841.0
220,806.0,806.0
221,773.0,773.0
222,745.0,745.0
223,731.0,731.0
224,723.0,723.0
225,726.0,726.0
226,734.0,734.0
227,746.0,746.0
228,756.0,756.0
229,770.0,770.0
230,793.0,793.0
231,819.0,819.0
232,834.0,834.0
233,838.0,838.0
234,838.0,838.0
235,842.0,842.0
236,847.0,847.0
237,851.0,851.0
238,856.0,856.0
239,864.0,864.0
240,873.0,873.0
241,881.0,881.0
242,892.0,892.0
243,898.0,898.0
244,908.0,908.0
245,916.0,916.0
246,922.0,922.0
247,931.0,931.0
248,937.0,937.0
249,945.0,945.0
250,951.0,951.0
251,961.0,961.0
252,971.0,971.0
253,984.0,984.0
254,993.0,993.0
255,1006.0,1006.0
256,1016.0,1016.0
257,1021.0,1021.0
258,1022.0,1022.0
259,1025.0,1025.0
260,1030.0,1030.0
261,1035.0,1035.0
262,1040.0,1040.0
263,1041.0,1041.0
264,1042.0,1042.0
265,1046.0,1046.0
266,1046.0,1046.0
267,1050.0,1050.0
268,1054.0,1054.0
269,1055.0,1055.0
270,1054.0,1054.0
271,1060.0,1060.0
272,1061.0,1061.0
273,1065.0,1065.0
274,1068.0,1068.0
275,1071.0,1071.0
276,1071.0,1071.0
277,1075.0,1075.0
278,1078.0,1078.0
279,1082.0,1082.0
280,1082.0,1082.0
281,1084.0,1084.0
282,1084.0,1084.0
283,1085.0,1085.0
284,1089.0,1089.0
285,1087.0,1087.0
286,1086.0,1086.0
287,1087.0,1087.0
288,1087.0,1087.0
289,1093.0,1093.0
290,1096.0,1096.0
291,1098.0,1098.0
292,1099.0,1099.0
293,1099.0,1099.0
294,1097.0,1097.0
295,1099.0,1099.0
296,1101.0,1101.0
297,1106.0,1106.0
298,1105.0,1105.0
299,1104.0,1104.0
300,1104.0,1104.0
301,1105.0,1105.0
302,1104.0,1104.0
303,1106.0,1106.0
304,1103.0,1103.0
305,1104.0,1104.0
306,1101.0,1101.0
307,1102.0,1102.0
308,1103.0,1103.0
309,1101.0,1101.0
310,1100.0,1100.0
311,1095.0,1095.0
312,1095.0,1095.0
313,1095.0,1095.0
314,1094.0,1094.0
315,1089.0,1089.0
316,1084.0,1084.0
317,1080.0,1080.0
318,1074.0,1074.0
319,1074.0,1074.0
320,1074.0,1074.0
321,1074.0,1074.0
322,1071.0,1071.0
323,1066.0,1066.0
324,1059.0,1059.0
325,1057.0,1057.0
326,1056.0,1056.0
327,1053.0,1053.0
328,1052.0,1052.0
329,1053.0,1053.0
330,1050.0,1050.0
331,1044.0,1044.0
332,1040.0,1040.0
333,1032.0,1032.0
334,1027.0,1027.0
335,1022.0,1022.0
336,1019.0,1019.0
337,1019.0,1019.0
338,1018.0,1018.0
339,1016.0,1016.0
340,1015.0,1015.0
341,1010.0,1010.0
342,1003.0,1003.0
343,1008.0,1008.0
344,1009.0,1009.0
345,1007.0,1007.0
346,1006.0,1006.0
347,1002.0,1002.0
348,998.0,998.0
349,1000.0,1000.0
350,1001.0,1001.0
351,999.0,999.0
352,994.0,994.0
353,990.0,990.0
354,992.0,992.0
355,992.0,992.0
356,994.0,994.0
357,993.0,993.0
358,992.0,992.0
359,990.0,990.0
360,987.0,987.0
361,988.0,988.0
362,988.0,988.0
363,986.0,986.0
364,988.0,988.0
365,990.0,990.0
366,992.0,992.0
367,996.0,996.0
368,996.0,996.0
369,995.0,995.0
370,990.0,990.0
371,988.0,988.0
372,989.0,989.0
373,992.0,992.0
374,993.0,993.0
375,993.0,993.0
376,991.0,991.0
377,994.0,994.0
378,993.0,993.0
379,994.0,994.0
380,995.0,995.0
381,995.0,995.0
382,991.0,991.0
383,985.0,985.0
384,983.0,983.0
385,986.0,986.0
386,988.0,988.0
387,991.0,991.0
388,990.0,990.0
389,992.0,992.0
390,990.0,990.0
391,991.0,991.0
392,990.0,990.0
393,990.0,990.0
394,990.0,990.0
395,990.0,990.0
396,987.0,987.0
397,986.0,986.0
398,988.0,988.0
399,988.0,988.0
400,988.0,988.0
401,989.0,989.0
402,984.0,984.0
403,982.0,982.0
404,984.0,984.0
405,984.0,984.0
406,982.0,982.0
407,981.0,981.0
408,982.0,982.0
409,984.0,984.0
410,989.0,989.0
411,992.0,992.0
412,995.0,995.0
413,995.0,995.0
414,997.0,997.0
415,996.0,996.0
416,997.0,997.0
417,998.0,998.0
418,1000.0,1000.0
419,1001.0,1001.0
420,1002.0,1002.0
421,1003.0,1003.0
422,1004.0,1004.0
423,1005.0,1005.0
424,1002.0,1002.0
425,996.0,996.0
426,989.0,989.0
427,988.0,988.0
428,988.0,988.0
429,988.0,988.0
430,991.0,991.0
431,989.0,989.0
432,989.0,989.0
433,989.0,989.0
434,991.0,991.0
435,991.0,991.0
436,991.0,991.0
437,989.0,989.0
438,991.0,991.0
439,992.0,992.0
440,993.0,993.0
441,994.0,994.0
442,993.0,993.0
443,992.0,992.0
444,992.0,992.0
445,993.0,993.0
446,995.0,995.0
447,994.0,994.0
448,994.0,994.0
449,987.0,987.0
450,984.0,984.0
451,984.0,984.0
452,985.0,985.0
453,986.0,986.0
454,986.0,986.0
455,985.0,985.0
456,984.0,984.0
457,985.0,985.0
458,987.0,987.0
459,989.0,989.0
460,989.0,989.0
461,993.0,993.0
462,990.0,990.0
463,990.0,990.0
464,991.0,991.0
465,994.0,994.0
466,992.0,992.0
467,991.0,991.0
468,989.0,989.0
469,990.0,990.0
470,990.0,990.0
471,987.0,987.0
472,981.0,981.0
473,979.0,979.0
474,986.0,986.0
475,999.0,999.0
476,1016.0,1016.0
477,1034.0,1034.0
478,1049.0,1049.0
479,1067.0,1067.0
480,1088.0,1088.0
481,1107.0,1107.0
482,1124.0,1124.0
483,1145.0,1145.0
484,1169.0,1169.0
485,1193.0,1193.0
486,1212.0,1212.0
487,1236.0,1236.0
488,1246.0,1246.0
489,1244.0,1244.0
490,1225.0,1225.0
491,1196.0,1196.0
492,1147.0,1147.0
493,1072.0,1072.0
494,1002.0,1002.0
495,957.0,957.0
496,932.0,932.0
497,921.0,921.0
498,916.0,916.0
499,922.0,922.0
500,936.0,936.0
501,947.0,947.0
502,952.0,952.0
503,954.0,954.0
504,957.0,957.0
505,960.0,960.0
506,965.0,965.0
507,964.0,964.0
508,964.0,964.0
509,959.0,959.0
510,957.0,957.0
511,957.0,957.0
512,957.0,957.0
513,959.0,959.0
514,962.0,962.0
515,964.0,964.0
516,968.0,968.0
517,972.0,972.0
518,976.0,976.0
519,975.0,975.0
520,972.0,972.0
521,970.0,970.0
522,968.0,968.0
523,968.0,968.0
524,969.0,969.0
525,970.0,970.0
526,969.0,969.0
527,968.0,968.0
528,973.0,973.0
529,974.0,974.0
530,976.0,976.0
531,977.0,977.0
532,977.0,977.0
533,977.0,977.0
534,976.0,976.0
535,977.0,977.0
536,977.0,977.0
537,978.0,978.0
538,976.0,976.0
539,979.0,979.0
540,978.0,978.0
541,979.0,979.0
542,982.0,982.0
543,985.0,985.0
544,981.0,981.0
545,980.0,980.0
546,976.0,976.0
547,978.0,978.0
548,978.0,978.0
549,981.0,981.0
550,982.0,982.0
551,982.0,982.0
552,980.0,980.0
553,983.0,983.0
554,988.0,988.0
555,987.0,987.0
556,986.0,986.0
557,986.0,986.0
558,985.0,985.0
559,992.0,992.0
560,996.0,996.0
561,998.0,998.0
562,999.0,999.0
563,998.0,998.0
564,996.0,996.0
565,998.0,998.0
566,1000.0,1000.0
567,999.0,999.0
568,999.0,999.0
569,995.0,995.0
570,999.0,999.0
571,1000.0,1000.0
572,999.0,999.0
573,1001.0,1001.0
574,1000.0,1000.0
575,996.0,996.0
576,994.0,994.0
577,995.0,995.0
578,997.0,997.0
579,1002.0,1002.0
580,1003.0,1003.0
581,1004.0,1004.0
582,1007.0,1007.0
583,1005.0,1005.0
584,1008.0,1008.0
585,1011.0,1011.0
586,1010.0,1010.0
587,1010.0,1010.0
588,1009.0,1009.0
589,1010.0,1010.0
590,1012.0,1012.0
591,1013.0,1013.0
592,1014.0,1014.0
593,1009.0,1009.0
594,1011.0,1011.0
595,1011.0,1011.0
596,1010.0,1010.0
597,1008.0,1008.0
598,1008.0,1008.0
599,1008.0,1008.0
600,1008.0,1008.0
601,1008.0,1008.0
602,1008.0,1008.0
603,1009.0,1009.0
604,1006.0,1006.0
605,1006.0,1006.0
606,1007.0,1007.0
607,1006.0,1006.0
608,1009.0,1009.0
609,1009.0,1009.0
610,1010.0,1010.0
611,1009.0,1009.0
612,1006.0,1006.0
613,1009.0,1009.0
614,1011.0,1011.0
615,1010.0,1010.0
616,1010.0,1010.0
617,1007.0,1007.0
618,1006.0,1006.0
619,1006.0,1006.0
620,1008.0,1008.0
621,1004.0,1004.0
622,1003.0,1003.0
623,1001.0,1001.0
624,1000.0,1000.0
625,1001.0,1001.0
626,1004.0,1004.0
627,1003.0,1003.0
628,1000.0,1000.0
629,996.0,996.0
630,996.0,996.0
631,1001.0,1001.0
632,1010.0,1010.0
633,1009.0,1009.0
634,1006.0,1006.0
635,1003.0,1003.0
636,1001.0,1001.0
637,1002.0,1002.0
638,1002.0,1002.0
639,998.0,998.0
640,997.0,997.0
641,994.0,994.0
642,998.0,998.0
643,999.0,999.0
644,999.0,999.0
645,996.0,996.0
646,993.0,993.0
647,993.0,993.0
648,993.0,993.0
649,993.0,993.0
650,995.0,995.0
651,998.0,998.0
652,998.0,998.0
653,998.0,998.0
654,1000.0,1000.0
655,1002.0,1002.0
656,1006.0,1006.0
657,1010.0,1010.0
658,1012.0,1012.0
659,1008.0,1008.0
660,1009.0,1009.0
661,1014.0,1014.0
662,1021.0,1021.0
663,1025.0,1025.0
664,1028.0,1028.0
665,1028.0,1028.0
666,1032.0,1032.0
667,1036.0,1036.0
668,1040.0,1040.0
669,1045.0,1045.0
670,1046.0,1046.0
671,1043.0,1043.0
672,1048.0,1048.0
673,1064.0,1064.0
674,1077.0,1077.0
675,1077.0,1077.0
676,1068.0,1068.0
677,1064.0,1064.0
678,1062.0,1062.0
679,1054.0,1054.0
680,1031.0,1031.0
681,979.0,979.0
682,899.0,899.0
683,806.0,806.0
684,729.0,729.0
685,675.0,675.0
686,645.0,645.0
687,633.0,633.0
688,625.0,625.0
689,622.0,622.0
690,624.0,624.0
691,631.0,631.0
692,643.0,643.0
693,655.0,655.0
694,674.0,674.0
695,703.0,703.0
696,729.0,729.0
697,754.0,754.0
698,769.0,769.0
699,777.0,777.0
700,788.0,788.0
701,803.0,803.0
702,817.0,817.0
703,836.0,836.0
704,858.0,858.0
705,870.0,870.0
706,881.0,881.0
707,891.0,891.0
708,903.0,903.0
709,920.0,920.0
710,931.0,931.0
711,940.0,940.0
712,944.0,944.0
713,946.0,946.0
714,949.0,949.0
715,956.0,956.0
716,963.0,963.0
717,970.0,970.0
718,986.0,986.0
719,999.0,999.0
720,1012.0,1012.0
721,1023.0,1023.0
722,1034.0,1034.0
723,1046.0,1046.0
724,1054.0,1054.0
725,1061.0,1061.0
726,1066.0,1066.0
727,1070.0,1070.0
728,1076.0,1076.0
729,1081.0,1081.0
730,1089.0,1089.0
731,1090.0,1090.0
732,1089.0,1089.0
733,1094.0,1094.0
734,1102.0,1102.0
735,1110.0,1110.0
736,1118.0,1118.0
737,1117.0,1117.0
738,1121.0,1121.0
739,1125.0,1125.0
740,1128.0,1128.0
741,1132.0,1132.0
742,1136.0,1136.0
743,1141.0,1141.0
744,1144.0,1144.0
745,1148.0,1148.0
746,1153.0,1153.0
747,1155.0,1155.0
748,1159.0,1159.0
749,1160.0,1160.0
750,1163.0,1163.0
751,1167.0,1167.0
752,1175.0,1175.0
753,1181.0,1181.0
754,1185.0,1185.0
755,1183.0,1183.0
756,1185.0,1185.0
757,1188.0,1188.0
758,1192.0,1192.0
759,1197.0,1197.0
760,1195.0,1195.0
761,1194.0,1194.0
762,1191.0,1191.0
763,1190.0,1190.0
764,1191.0,1191.0
765,1189.0,1189.0
766,1184.0,1184.0
767,1182.0,1182.0
768,1178.0,1178.0
769,1180.0,1180.0
770,1178.0,1178.0
771,1175.0,1175.0
772,1167.0,1167.0
773,1160.0,1160.0
774,1157.0,1157.0
775,1152.0,1152.0
776,1147.0,1147.0
777,1145.0,1145.0
778,1141.0,1141.0
779,1136.0,1136.0
780,1130.0,1130.0
781,1123.0,1123.0
782,1116.0,1116.0
783,1111.0,1111.0
784,1104.0,1104.0
785,1096.0,1096.0
786,1089.0,1089.0
787,1082.0,1082.0
788,1079.0,1079.0
789,1073.0,1073.0
790,1065.0,1065.0
791,1061.0,1061.0
792,1061.0,1061.0
793,1059.0,1059.0
794,1057.0,1057.0
795,1055.0,1055.0
796,1052.0,1052.0
797,1050.0,1050.0
798,1046.0,1046.0
799,1043.0,1043.0
800,1039.0,1039.0
801,1035.0,1035.0
802,1031.0,1031.0
803,1027.0,1027.0
804,1023.0,1023.0
805,1026.0,1026.0
806,1027.0,1027.0
807,1024.0,1024.0
808,1020.0,1020.0
809,1016.0,1016.0
810,1013.0,1013.0
811,1017.0,1017.0
812,1023.0,1023.0
813,1025.0,1025.0
814,1023.0,1023.0
815,1019.0,1019.0
816,1020.0,1020.0
817,1022.0,1022.0
818,1021.0,1021.0
819,1020.0,1020.0
820,1018.0,1018.0
821,1015.0,1015.0
822,1012.0,1012.0
823,1011.0,1011.0
824,1012.0,1012.0
825,1014.0,1014.0
826,1012.0,1012.0
827,1007.0,1007.0
828,1006.0,1006.0
829,1002.0,1002.0
830,1003.0,1003.0
831,1005.0,1005.0
832,1007.0,1007.0
833,1009.0,1009.0
834,1008.0,1008.0
835,1005.0,1005.0
836,1005.0,1005.0
837,1006.0,1006.0
838,1005.0,1005.0
839,1001.0,1001.0
840,1001.0,1001.0
841,1000.0,1000.0
842,1002.0,1002.0
843,1005.0,1005.0
844,1003.0,1003.0
845,1002.0,1002.0
846,999.0,999.0
847,1001.0,1001.0
848,1006.0,1006.0
849,1005.0,1005.0
850,1002.0,1002.0
851,999.0,999.0
852,997.0,997.0
853,998.0,998.0
854,999.0,999.0
855,999.0,999.0
856,997.0,997.0
857,995.0,995.0
858,993.0,993.0
859,995.0,995.0
860,998.0,998.0
861,997.0,997.0
862,996.0,996.0
863,993.0,993.0
864,993.0,993.0
865,997.0,997.0
866,999.0,999.0
867,998.0,998.0
868,997.0,997.0
869,995.0,995.0
870,991.0,991.0
871,986.0,986.0
872,989.0,989.0
873,994.0,994.0
874,997.0,997.0
875,999.0,999.0
876,995.0,995.0
877,1002.0,1002.0
878,1006.0,1006.0
879,1010.0,1010.0
880,1009.0,1009.0
881,1006.0,1006.0
882,997.0,997.0
883,994.0,994.0
884,993.0,993.0
885,993.0,993.0
886,1000.0,1000.0
887,1004.0,1004.0
888,1008.0,1008.0
889,1011.0,1011.0
890,1009.0,1009.0
891,1005.0,1005.0
892,1004.0,1004.0
893,1005.0,1005.0
894,1007.0,1007.0
895,1008.0,1008.0
896,1008.0,1008.0
897,1008.0,1008.0
898,1005.0,1005.0
899,1000.0,1000.0
900,999.0,999.0
901,999.0,999.0
902,999.0,999.0
903,998.0,998.0
904,997.0,997.0
905,998.0,998.0
906,998.0,998.0
907,1000.0,1000.0
908,1001.0,1001.0
909,1003.0,1003.0
910,1000.0,1000.0
911,995.0,995.0
912,997.0,997.0
913,1002.0,1002.0
914,1002.0,1002.0
915,1002.0,1002.0
916,999.0,999.0
917,1003.0,1003.0
918,1004.0,1004.0
919,1008.0,1008.0
920,1014.0,1014.0
921,1018.0,1018.0
922,1010.0,1010.0
923,1000.0,1000.0
924,987.0,987.0
925,981.0,981.0
926,980.0,980.0
927,987.0,987.0
928,992.0,992.0
929,992.0,992.0
930,995.0,995.0
931,994.0,994.0
932,998.0,998.0
933,996.0,996.0
934,994.0,994.0
935,990.0,990.0
936,986.0,986.0
937,987.0,987.0
938,990.0,990.0
939,989.0,989.0
940,991.0,991.0
941,992.0,992.0
942,988.0,988.0
943,989.0,989.0
944,987.0,987.0
945,987.0,987.0
946,986.0,986.0
947,983.0,983.0
948,982.0,982.0
949,981.0,981.0
950,981.0,981.0
951,988.0,988.0
952,999.0,999.0
953,1009.0,1009.0
954,1024.0,1024.0
955,1041.0,1041.0
956,1062.0,1062.0
957,1082.0,1082.0
958,1096.0,1096.0
959,1112.0,1112.0
960,1131.0,1131.0
961,1160.0,1160.0
962,1184.0,1184.0
963,1205.0,1205.0
964,1223.0,1223.0
965,1229.0,1229.0
966,1225.0,1225.0
967,1208.0,1208.0
968,1182.0,1182.0
969,1138.0,1138.0
970,1069.0,1069.0
971,1000.0,1000.0
972,957.0,957.0
973,938.0,938.0
974,923.0,923.0
975,920.0,920.0
976,925.0,925.0
977,936.0,936.0
978,944.0,944.0
979,951.0,951.0
980,950.0,950.0
981,947.0,947.0
982,952.0,952.0
983,950.0,950.0
984,948.0,948.0
985,946.0,946.0
986,941.0,941.0
987,943.0,943.0
988,943.0,943.0
989,943.0,943.0
990,941.0,941.0
991,942.0,942.0
992,945.0,945.0
993,947.0,947.0
994,947.0,947.0
995,947.0,947.0
996,951.0,951.0
997,953.0,953.0
998,955.0,955.0
999,957.0,957.0
1000,953.0,953.0
1001,946.0,946.0
1002,944.0,944.0
1003,946.0,946.0
1004,952.0,952.0
1005,958.0,958.0
1006,956.0,956.0
1007,948.0,948.0
1008,945.0,945.0
1009,943.0,943.0
1010,946.0,946.0
1011,945.0,945.0
1012,946.0,946.0
1013,944.0,944.0
1014,944.0,944.0
1015,945.0,945.0
1016,946.0,946.0
1017,947.0,947.0
1018,946.0,946.0
1019,947.0,947.0
1020,947.0,947.0
1021,948.0,948.0
1022,950.0,950.0
1023,956.0,956.0
1024,957.0,957.0
1025,957.0,957.0
1026,958.0,958.0
1027,959.0,959.0
1028,954.0,954.0
1029,951.0,951.0
1030,953.0,953.0
1031,955.0,955.0
1032,956.0,956.0
1033,956.0,956.0
1034,952.0,952.0
1035,954.0,954.0
1036,955.0,955.0
1037,954.0,954.0
1038,953.0,953.0
1039,955.0,955.0
1040,956.0,956.0
1041,957.0,957.0
1042,955.0,955.0
1043,951.0,951.0
1044,954.0,954.0
1045,954.0,954.0
1046,957.0,957.0
1047,958.0,958.0
1048,962.0,962.0
1049,966.0,966.0
1050,967.0,967.0
1051,971.0,971.0
1052,969.0,969.0
1053,968.0,968.0
1054,964.0,964.0
1055,963.0,963.0
1056,963.0,963.0
1057,965.0,965.0
1058,967.0,967.0
1059,963.0,963.0
1060,960.0,960.0
1061,960.0,960.0
1062,963.0,963.0
1063,969.0,969.0
1064,971.0,971.0
1065,969.0,969.0
1066,967.0,967.0
1067,968.0,968.0
1068,970.0,970.0
1069,972.0,972.0
1070,974.0,974.0
1071,973.0,973.0
1072,973.0,973.0
1073,971.0,971.0
1074,971.0,971.0
1075,974.0,974.0
1076,972.0,972.0
1077,975.0,975.0
1078,972.0,972.0
1079,967.0,967.0
1080,966.0,966.0
1081,966.0,966.0
1082,968.0,968.0
1083,967.0,967.0
1084,967.0,967.0
1085,968.0,968.0
1086,962.0,962.0
1087,962.0,962.0
1088,964.0,964.0
1089,967.0,967.0
1090,969.0,969.0
1091,965.0,965.0
1092,963.0,963.0
1093,964.0,964.0
1094,964.0,964.0
1095,960.0,960.0
1096,964.0,964.0
1097,963.0,963.0
1098,961.0,961.0
1099,963.0,963.0
1100,965.0,965.0
1101,965.0,965.0
1102,963.0,963.0
1103,957.0,957.0
1104,957.0,957.0
1105,956.0,956.0
1106,957.0,957.0
1107,957.0,957.0
1108,955.0,955.0
1109,952.0,952.0
1110,951.0,951.0
1111,953.0,953.0
1112,957.0,957.0
1113,958.0,958.0
1114,960.0,960.0
1115,962.0,962.0
1116,965.0,965.0
1117,969.0,969.0
1118,974.0,974.0
1119,978.0,978.0
1120,982.0,982.0
1121,984.0,984.0
1122,989.0,989.0
1123,994.0,994.0
1124,996.0,996.0
1125,995.0,995.0
1126,993.0,993.0
1127,993.0,993.0
1128,998.0,998.0
1129,998.0,998.0
1130,1001.0,1001.0
1131,1003.0,1003.0
1132,1012.0,1012.0
1133,1016.0,1016.0
1134,1015.0,1015.0
1135,1007.0,1007.0
1136,992.0,992.0
1137,972.0,972.0
1138,938.0,938.0
1139,886.0,886.0
1140,812.0,812.0
1141,739.0,739.0
1142,678.0,678.0
1143,638.0,638.0
1144,617.0,617.0
1145,611.0,611.0
1146,612.0,612.0
1147,608.0,608.0
1148,613.0,613.0
1149,625.0,625.0
1150,644.0,644.0
1151,663.0,663.0
1152,683.0,683.0
1153,697.0,697.0
1154,716.0,716.0
1155,736.0,736.0
1156,759.0,759.0
1157,777.0,777.0
1158,795.0,795.0
1159,811.0,811.0
1160,825.0,825.0
1161,836.0,836.0
1162,841.0,841.0
1163,850.0,850.0
1164,858.0,858.0
1165,872.0,872.0
1166,886.0,886.0
1167,893.0,893.0
1168,899.0,899.0
1169,902.0,902.0
1170,907.0,907.0
1171,911.0,911.0
1172,918.0,918.0
1173,926.0,926.0
1174,930.0,930.0
1175,940.0,940.0
1176,954.0,954.0
1177,969.0,969.0
1178,983.0,983.0
1179,993.0,993.0
1180,1000.0,1000.0
1181,1006.0,1006.0
1182,1018.0,1018.0
1183,1028.0,1028.0
1184,1036.0,1036.0
1185,1040.0,1040.0
1186,1043.0,1043.0
1187,1050.0,1050.0
1188,1054.0,1054.0
1189,1058.0,1058.0
1190,1060.0,1060.0
1191,1061.0,1061.0
1192,1066.0,1066.0
1193,1069.0,1069.0
1194,1073.0,1073.0
1195,1078.0,1078.0
1196,1084.0,1084.0
1197,1087.0,1087.0
1198,1086.0,1086.0
1199,1087.0,1087.0
1200,1094.0,1094.0
1201,1098.0,1098.0
1202,1097.0,1097.0
1203,1098.0,1098.0
1204,1101.0,1101.0
1205,1104.0,1104.0
1206,1109.0,1109.0
1207,1118.0,1118.0
1208,1122.0,1122.0
1209,1125.0,1125.0
1210,1125.0,1125.0
1211,1130.0,1130.0
1212,1130.0,1130.0
1213,1131.0,1131.0
1214,1132.0,1132.0
1215,1133.0,1133.0
1216,1133.0,1133.0
1217,1138.0,1138.0
1218,1140.0,1140.0
1219,1138.0,1138.0
1220,1139.0,1139.0
1221,1136.0,1136.0
1222,1134.0,1134.0
1223,1133.0,1133.0
1224,1135.0,1135.0
1225,1134.0,1134.0
1226,1136.0,1136.0
1227,1134.0,1134.0
1228,1130.0,1130.0
1229,1124.0,1124.0
1230,1120.0,1120.0
1231,1117.0,1117.0
1232,1117.0,1117.0
1233,1112.0,1112.0
1234,1105.0,1105.0
1235,1103.0,1103.0
1236,1099.0,1099.0
1237,1096.0,1096.0
1238,1095.0,1095.0
1239,1093.0,1093.0
1240,1082.0,1082.0
1241,1074.0,1074.0
1242,1068.0,1068.0
1243,1063.0,1063.0
1244,1059.0,1059.0
1245,1054.0,1054.0
1246,1048.0,1048.0
1247,1043.0,1043.0
1248,1037.0,1037.0
1249,1035.0,1035.0
1250,1031.0,1031.0
1251,1028.0,1028.0
1252,1023.0,1023.0
1253,1019.0,1019.0
1254,1016.0,1016.0
1255,1011.0,1011.0
1256,1010.0,1010.0
1257,1008.0,1008.0
