      Time   Sample #  Type  Sub Chan  Num	Aux
    2:54.086    62671     N    0    0    0
    2:54.778    62920     N    0    0    0
    2:55.503    63181     N    0    0    0
    2:56.233    63444     N    0    0    0
    2:56.758    63633     V    3    0    0
    2:57.386    63859     V    2    0    0
    2:58.358    64209     N    0    0    0
    2:58.875    64395     V    1    0    0
    2:59.522    64628     V    0    0    0
    3:00.378    64936     N    0    0    0
    3:00.625    65025     +    0    0    0	(B
    3:00.872    65114     V    1    0    0
    3:01.781    65441     N    0    0    0
    3:02.328    65638     V    1    0    0
    3:03.300    65988     N    0    0    0
    3:03.814    66173     V    1    0    0
    3:04.661    66478     N    0    0    0
    3:05.131    66647     V    1    0    0
    3:05.981    66953     N    0    0    0
    3:06.542    67155     V    1    0    0
    3:07.419    67471     N    0    0    0
    3:07.967    67668     V    1    0    0
    3:08.881    67997     N    0    0    0
    3:09.419    68191     V    1    0    0
    3:10.317    68514     N    0    0    0
    3:10.836    68701     V    1    0    0
    3:11.767    69036     N    0    0    0
    3:12.256    69212     V    1    0    0
    3:13.144    69532     N    0    0    0
    3:13.761    69754     V    1    0    0
    3:14.722    70100     N    0    0    0
    3:15.297    70307     V    1    0    0
    3:16.161    70618     N    0    0    0
    3:16.661    70798     V    1    0    0
    3:17.461    71086     N    0    0    0
    3:17.947    71261     V    1    0    0
    3:18.822    71576     N    0    0    0
    3:19.497    71819     V    1    0    0
    3:20.306    72110     N    0    0    0
    3:20.889    72320     V    1    0    0
    3:21.700    72612     N    0    0    0
    3:22.236    72805     V    1    0    0
    3:23.125    73125     N    0    0    0
    3:23.636    73309     V    1    0    0
    3:24.442    73599     N    0    0    0
    3:24.967    73788     V    1    0    0
    3:25.817    74094     N    0    0    0
    3:26.339    74282     V    1    0    0
    3:26.775    74439     +    0    0    0	(N
    3:27.211    74596     N    0    0    0
    3:27.925    74853     N    0    0    0
    3:28.567    75084     N    0    0    0
    3:29.217    75318     N    0    0    0
    3:29.769    75517     A    0    0    0
    3:30.514    75785     N    0    0    0
    3:31.275    76059     N    0    0    0
    3:32.036    76333     N    0    0    0
    3:32.731    76583     N    0    0    0
    3:33.447    76841     N    0    0    0
    3:34.167    77100     N    0    0    0
    3:34.850    77346     N    0    0    0
    3:35.153    77455     +    0    0    0	(B
    3:35.456    77564     V    3    0    0
    3:36.267    77856     N    0    0    0
    3:36.786    78043     V    1    0    0
    3:37.706    78374     N    0    0    0
    3:38.236    78565     V    1    0    0
    3:39.300    78948     N    0    0    0
    3:39.814    79133     V    1    0    0
    3:40.192    79269     ~    2    0    0
    3:40.697    79451     N    0    0    0
    3:41.269    79657     V    1    0    0
    3:41.656    79796     +    0    0    0	(N
    3:42.042    79935     N    0    0    0
    3:42.706    80174     N    0    0    0
    3:43.439    80438     N    0    0    0
    3:43.783    80562     +    0    0    0	(B
    3:44.128    80686     V    1    0    0
    3:44.922    80972     N    0    0    0
    3:45.472    81170     V    1    0    0
    3:46.275    81459     N    0    0    0
    3:46.814    81653     V    1    0    0
    3:47.672    81962     N    0    0    0
    3:48.178    82144     V    1    0    0
    3:48.967    82428     N    0    0    0
    3:49.481    82613     V    1    0    0
    3:49.900    82764     V    4    0    0
    3:50.758    83073     ~    3    0    0
    3:51.058    83181     N    0    0    0
    3:51.586    83371     V    0    0    0
    3:51.997    83519     +    0    0    0	(N
    3:52.408    83667     N    0    0    0
    3:53.081    83909     N    0    0    0
    3:53.681    84125     N    0    0    0
    3:54.308    84351     N    0    0    0
    3:54.986    84595     N    0    0    0
    3:55.681    84845     N    0    0    0
    3:56.383    85098     N    0    0    0
    3:57.003    85321     N    0    0    0
    3:57.631    85547     N    0    0    0
    3:57.808    85611     ~    2    0    0
    3:58.308    85791     N    0    0    0
    3:58.836    85981     A    0    0    0
    3:59.528    86230     N    0    0    0
    4:00.203    86473     N    0    0    0
    4:00.817    86694     N    0    0    0
    4:01.464    86927     N    0    0    0
    4:02.111    87160     N    0    0    0
    4:02.611    87340     V    4    0    0
    4:03.517    87666     N    0    0    0
    4:04.022    87848     V    1    0    0
    4:04.819    88135     N    0    0    0
    4:05.433    88356     N    0    0    0
    4:06.033    88572     N    0    0    0
    4:06.669    88801     N    0    0    0
    4:07.325    89037     N    0    0    0
    4:08.014    89285     N    0    0    0
    4:08.747    89549     N    0    0    0
    4:09.400    89784     N    0    0    0
    4:10.022    90008     N    0    0    0
    4:10.633    90228     N    0    0    0
    4:11.286    90463     N    0    0    0
    4:11.956    90704     N    0    0    0
    4:12.611    90940     N    0    0    0
    4:13.258    91173     N    0    0    0
    4:13.911    91408     N    0    0    0
    4:14.619    91663     N    0    0    0
    4:15.272    91898     N    0    0    0
    4:15.944    92140     N    0    0    0
    4:16.619    92383     N    0    0    0
    4:17.169    92581     V    1    0    0
    4:17.872    92834     N    0    0    0
    4:18.422    93032     N    0    0    0
    4:19.131    93287     N    0    0    0
    4:19.753    93511     V    1    0    0
    4:20.606    93818     N    0    0    0
    4:21.242    94047     V    1    0    0
    4:21.922    94292     N    0    0    0
    4:22.547    94517     N    0    0    0
    4:23.156    94736     N    0    0    0
    4:23.792    94965     N    0    0    0
    4:24.433    95196     N    0    0    0
    4:25.014    95405     V    1    0    0
    4:25.767    95676     N    0    0    0
    4:26.425    95913     N    0    0    0
    4:27.089    96152     N    0    0    0
    4:27.650    96354     V    0    0    0
    4:28.436    96637     N    0    0    0
    4:28.942    96819     V    1    0    0
    4:29.647    97073     N    0    0    0
    4:30.250    97290     N    0    0    0
    4:30.864    97511     N    0    0    0
    4:31.483    97734     N    0    0    0
    4:32.175    97983     N    0    0    0
    4:32.872    98234     N    0    0    0
    4:33.531    98471     N    0    0    0
    4:34.058    98661     V    1    0    0
    4:34.742    98907     V    2    0    0
    4:35.342    99123     N    0    0    0
    4:36.003    99361     N    0    0    0
    4:36.644    99592     N    0    0    0
    4:37.311    99832     N    0    0    0
    4:37.772    99998     V    0    0    0
    4:38.581   100289     N    0    0    0
    4:39.247   100529     N    0    0    0
    4:39.856   100748     N    0    0    0
    4:40.414   100949     V    1    0    0
    4:41.147   101213     N    0    0    0
    4:41.628   101386     V    1    0    0
    4:42.356   101648     N    0    0    0
    4:42.942   101859     N    0    0    0
    4:43.564   102083     N    0    0    0
    4:44.311   102352     N    0    0    0
    4:44.981   102593     N    0    0    0
    4:45.625   102825     N    0    0    0
    4:46.200   103032     N    0    0    0
    4:46.772   103238     N    0    0    0
    4:47.367   103452     N    0    0    0
    4:47.939   103658     N    0    0    0
    4:48.550   103878     N    0    0    0
    4:49.153   104095     V    1    0    0
